Bwd Segment Size Avg,Bwd Bulk Rate Avg,URG Flag Count,CWR Flag Count,Active Max,Down/Up Ratio,Active Min,Bwd Packet Length Std,Total Length of Bwd Packet
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,203430.0,0.0,735.0,0.0,0.0
0.0,0.0,0.0,0.0,211399.0,0.0,734.0,0.0,0.0
0.0,0.0,0.0,0.0,5023970.0,0.0,229.0,0.0,0.0
0.0,0.0,0.0,0.0,11300000.0,0.0,1950438.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,85790.0,0.0,39924.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,88768.0,0.0,2538.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,325981.0,0.0,722.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,226693.0,0.0,496.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,138571.0,0.0,719.0,0.0,0.0
0.0,0.0,0.0,0.0,238.0,0.0,238.0,0.0,0.0
0.0,0.0,0.0,0.0,82075.0,0.0,235.0,0.0,0.0
0.0,0.0,0.0,0.0,246.0,0.0,246.0,0.0,0.0
0.0,0.0,0.0,0.0,83100000.0,0.0,2624939.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,19400000.0,0.0,607737.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,33200000.0,0.0,33200000.0,0.0,0.0
0.0,0.0,0.0,0.0,67300000.0,0.0,13500000.0,0.0,0.0
0.0,0.0,0.0,0.0,21900000.0,0.0,21900000.0,0.0,0.0
